"Particulars","FG/RM/PM","Group","Sub-Group","UOM","Customer","Sale Group","GST","HSN/SAC"
"Maggi Masala Flavours","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33019029"
"Maintenance & Service Charges","0","Service","Charges","0.000","0","0","18%","(995449)"
"Maltitol Liquid","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","29400000"
"Mango Flavour 291018","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021010"
"MDF Premium Medjoul Dates Box 18 Pcs","FG","FESTIVE HAMPERS","Gifting","0.540","0","VA","18%","(42022910)"
"Mint Chutney Flavour 1","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","20019000"
"Mint Chutney Flavour 2","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","35040099"
"Misc Packing Material","PM","Packaging","PM","0.000","GENERAL","PM","18%","39232990"
"MODIFIED STARCH- CRISPYTEC","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","35051010"
"Moringa Extract","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","13021919"
"MOULD  & DESIGN PLATE FOR PM","PM","Packaging","Mould","0.000","0","PM","18%",""
"NASURE 19","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","33019090"
"Natural Pineapple Falvour 170914","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021010"
"Natural Red Colour - TPL","RM","TAJIR","Tajir - Other","1.000","0","Bulk","18%","32041983"
"NEALSOYA 16-B","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","35040099"
"Nitrogen F Grade","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","28043000"
"NUTS CUTTER","PM","Packaging","PM","0.000","GENERAL","PM","18%","82079090"
"Orange Flavour 220509","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021010"
"ORANGE SUPREME OIL FLAVOUR","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021010"
"Orange Zest Liquid Extract","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","13021919"
"Other professional, tech. & Business Services-9983","0","Service","Charges","0.000","0","0","18%","9983"
"Other Scrap","RM","MISCELLANEOUS - RM","Off-Grade","1.000","0","Bulk","18%","39159090"
"Peri Peri Liquid","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021090"
"PERI PERI LIQUID - 4010003520","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","33021090"
"Pest Control Management","0","Others","Others","0.000","0","0","18%","(998531)"
"Pickwick 300g Roll Jar","RM","MISCELLANEOUS - RM","Other Misc","0.300","0","Bulk","18%","19053211"
"Pickwick Hollow Wafer Stick","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","19053211"
"Pickwick Plain Wafers","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","19053211"
"Plant Epoxy, Paint, Repair and Other Service","0","Others","Others","0.000","0","0","18%","995478"
"Plant Epoxy, Paint, Repair Etc -RMT","0","Others","Others","0.000","0","0","18%","(99547)"
"Plastic Waste Bulk Pickup","0","Others","Others","0.000","0","0","18%","999422"
"PM24-1000 Ml Oval Container-Habit Dates (White Jar With White Colour Lid). 900 gm","PM","Packaging","Tub","0.000","TAJIR","PM","18%","39233090"
"PM24-100 Gm Glass Bottle-Medium Sized 100 gm","PM","Packaging","Glass Bottle","0.000","HOH/Common","PM","18%","70109000"
"PM24-100gm Pet-53mm neck with Cap & IW","PM","Packaging","Pet","0.000","GENERAL","PM","18%","(39233090)"
"PM24-100 Ml Yenki Jar Bottle 100 gm","PM","Packaging","Glass Bottle","0.000","GENERAL","PM","18%","70109000"
"PM24-100Ml Yenki Jar Bottle Top 100 gm","PM","Packaging","Glass Cap","0.000","HOH/Common","PM","18%","70109000"
"PM24-100 mm RO Caps Reliance PGP 1 Kg","PM","Packaging","Cap","0.000","RELIANCE","PM","18%","83099090"
"PM24-100mm Silver Cap for Glass Jar Reliance RGP 1 Kg","PM","Packaging","Cap","0.000","RELIANCE","PM","18%","83099090"
"PM24-100mm x 100mm Plain 1000 Label","PM","Packaging","Label","0.000","GENERAL","PM","18%","48211020"
"PM24-100mm x 50mm 1000L 1 Core, Choromo Veg Logo 500 units","PM","Packaging","Label","0.000","GENERAL","PM","18%","48211020"
"PM24- 100x100mm-Chromo Labels -Plain Veg Mark","PM","Packaging","Label","0.000","GENERAL","PM","18%","48211020"
"PM24- 100x100mm-Chromo Labels -Veg Logo With Candor Print (Without Address)","PM","Packaging","Label","0.000","GENERAL","PM","18%","48211020"
"PM24-10Kg Candor Print LD Pouch (18.5x26) 10 Kg","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232100"
"PM24-10X12 Plain Pouch 1000 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232100"
"PM24-12 Dates Printed Box 12 pc","PM","Packaging","PM","0.000","GENERAL","PM","18%","48191090"
"PM24-12 Pc Cavity Printed Box 500 gm","PM","Packaging","Box","0.000","HOH/Common","PM","18%","48191090"
"PM24-13""CT 303 Shrink Film ( For 500 gm) Cryovac® Brand, 11/12 Micron-1900 Mtr. 500 gm","PM","Packaging","Shrink Film","0.000","GENERAL","PM","18%","39201019"
"PM 24-15"" CT 303 Shrink Film , 11/12 micron-1900 Mtr","PM","Packaging","Shrink Film","0.000","GENERAL","PM","18%","39201090"
"PM24-16"" CT 303 Shrink Film, Cryovac® Brand (11/12) Micron-1900 Mtr. 1000 gm","PM","Packaging","Shrink Film","0.000","GENERAL","PM","18%","39201019"
"PM24-18 Dates Sticker","PM","Packaging","Label","0.000","GENERAL","PM","18%","48211090"
